Insured Name	Underwriter Name	Producing Underwriter Name	Inception Date	Inception Year	Expiry Date	Bound Date	Producing Mosaic Entity	Class of Business	Service Company	Agreement YOA	FON Date	Accumulates on Agreement	Accumulates on Dec	Carrier Reference	Master Policy Number	Policy Reference	Policy Line Reference	2610 Policy Line Reference	Is Third Party Capacity Deployed?	Unique Market Reference	Asta UMR (Agreement)	Master Broker	Broker Name	Broker Key	Obligor	Commodity	Fund Code (as per XFI)	Reinsured	Renewal Date	Policy Period Days	Tenor in Months	Method of Placement (MOP)	Mapped Method of Placement (MOP)	Territory	Insured Domicile	Insured State	Reinsured Domicile	Lloyds Industrial Sector Code	Lloyds Industrial Sector Description	Mosaic Occupation Code	Mosaic Occupation Description	Occupation Source Code	Occupation Source Description	Occupation Code	Occupation Description	NAICS Code	NAICS Description	Bank/Non Bank	Slip Lead	Bureau Lead	Written Line (%)	Agency Line/Share (%)	Signed Line Adjustment	Avg Agency Line/Share (%) 	Mosaic 1609 line (%)	Mosaic 2610 Line (%)	Avg Mosaic 1609 Line (%)	Avg Mosaic 2610 Line (%)	Mosaic 1609 Order (%)	Limit Currency	Limit (Original Currency)	Limit (USD)	Type of Layer	Enterprise Value (Original)	Enterprise Value (USD)	Excess (Original Currency)	Excess (USD)	Deductible (Original Currency)	Deductible (USD)	100% Gross or Estimated Written Premium (Original Currency)	Premium Currency	100% Gross or Estimated Written Premium (USD)	100% Gross or Estimated Written Premium by YOA (USD)	100% Minimum or Deposit Premium (Original Currency)	Class	Premium Type	Lloyds Risk Code	Agency GELR (%)	Mosaic GELR (%)	Brokerage (%)	Ceding Commission (%)	Third Party Coverholder Commission (%)	Consortium Commission (%)	Original Commission (%)	Mosaic 1609 Agency Commission (%)	Mosaic 1609 Total Commission (%)	Third Party Agency Commission (%)	Third Party Total Commission (%)	Agency Share Gross Written Premium (Original Currency)	Mosaic 1609 Share Gross Written Premium (Original Currency)	Business Plan Loss Ratio (%)	Mosaic 1609 Share Benchmark Premium (Original Currency)	Mosaic 1609 Share Benchmark Premium (USD)	Achieved Price (%)	Mosaic 1609 Exposure (Original Currency)	Mosaic 1609 Share Gross Written Premium (GBP)	Mosaic 1609 Original Commission Amount (GBP)	Mosaic 1609 Agency Commission Amount (GBP)	Mosaic 1609 Expected claims (Original Currency)	Mosaic 1609 Expected claims (USD)	Mosaic 1609 Expected claims (GBP)	Mosaic 1609 Expected claims by YOA (GBP)	Agency Expected claims (Original Currency)	Agency Expected claims (USD)	Agency Expected claims (GBP)	Agency Expected claims by YOA (GBP)	Mosaic 1609 Exposure (USD)	Mosaic 1609 Share Gross Written Premium (USD)	Mosaic 1609 Original Commission Amount (USD)	Mosaic 1609 Agency Commission Amount (USD)	Agency Share Gross Written Premium (USD)	Agency Exposure (Original Currency)	Agency Exposure (USD)	Mosaic 1609 Total Commission (USD)	Mosaic 1609 Exposure by YOA (USD)	 Mosaic 1609 Share Gross Written Premium by YOA (USD) 	Mosaic 1609 Original Commission Amount by YOA (USD)	Agency Share Gross Written Premium by YOA (USD)	Agency Exposure by YOA (USD)	Mosaic 1609 Total Commission by YOA (USD)	Mosaic 1609 Share Gross Written Premium by YOA (GBP)	Mosaic 1609 Original Commission Amount by YOA (GBP)	Mosaic 1609 Agency Commission Amount by YOA (GBP)	Booking Completed Date	Policy Created By	Date Written	Peer Reviewer	Peer Reviewed Date	Assets Under Management	Asset Size	Jurisdiction Country	Jurisdiction State	Cyber Clause Status	Clause Code	Clause Title	Rev/ Turnover (Original Currency)	No. of Employees	Policy Status	Ops Mapped Status	XFI-Policy Level Status	XFI-Policy Activity Status	XFI-Policy Line Status	Renewal Status	Defense Costs Covered	Onshore/Offshore	Limit Basis	Renewal Found in XFI	Renewed Policy Line Reference	Reinstatement Applicable	No of Reinstatement	Risk Adjusted Rate Change (%)	Expired Gross Premium (USD) 100% of Previous Policy	Expired Gross Premium Agency (USD) of previous policy	Mosaic 1609 Expired Gross Premium (USD) of Previous policy	Amount Paid By Insured (USD)	Net Premium (USD)	Amount Paid By Insured by YOA (USD)	Net Premium by YOA (USD)
Kestrel Commodity Trading Pte Ltd	Lindqvist, Sara	Lindqvist, Sara	07/10/2025	2025	06/07/2026	21/09/2025	Mosaic UK	Political Risk	Mosaic UK	2025		Yes		DEMO00011AA		DEMO00011	DEMO00011AA			BDEMO00011		Aon	Aon Limited	9123	Meridian Power Authority				07/07/2026	273	9	Open Market	Facility/DUA	Chile	Singapore			10008	D. ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY	MOS038	Energy					221118	Other Electric Power Generation		Hiscox Syndicates Ltd	Lloyds Ark Syndicate Management Limited	3.75%	3.75%			3.75%				100.00%	USD	500000000	$500,000,000.00	Excess				$0.00			1701321	USD	$1,701,321.00			Contract Frustration	M&D & Estimate	CF		36.29%	20.00%				20.00%							54.12%				18750000					$19,140.00							$18,750,000.00	$63,800.00																	Demo Generator	19/09/2025	Delgado, Marta				United States		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	Renewed			Each and Every Loss												
Northwind Resources SA	Okafor, Chidi	Okafor, Chidi	25/11/2025	2025	23/02/2027	01/11/2025	Mosaic UK	Political Risk	Mosaic UK	2025		Yes		DEMO00012AA		DEMO00012	DEMO00012AA			BDEMO00012		Gallagher	Gallagher Limited	3724	Anseri National Petroleum				24/02/2027	456	15	Direct	Open Market	Nigeria	United States	New York		10011	D. ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY	MOS014	Energy					221118	Other Electric Power Generation			XL Catlin Insurance Company Ltd	1.50%	1.50%			1.50%				100.00%	USD	250000000	$250,000,000.00	Primary				$0.00			964264	USD	$964,264.00			Contract Frustration	M&D & Estimate	CF		35.32%	20.00%				20.00%							39.99%				3750000					$4,339.00							$3,750,000.00	$14,464.00																	Demo Generator	17/11/2025	Ashby, Rowan				United Kingdom		Exclusion					Currently in Bound status	Currently in Signed Status			Signed	Renewed			Each and Every Loss												
Marlin Energy Partners LLC	Delgado, Marta	Delgado, Marta	06/12/2025	2025	06/03/2027	09/11/2025	Mosaic UK	Political Risk	Mosaic UK	2025		Yes		DEMO00013AA		DEMO00013	DEMO00013AA			BDEMO00013		Gallagher	Gallagher Limited	3478	Rio Verde Infrastructure SA				07/03/2027	456	15	Open Market	Open Market	Brazil	United Kingdom			10009	H. TRANSPORTATION AND STORAGE	MOS036	Transport					488310	Port and Harbor Operations			XL Catlin Insurance Company Ltd	2.50%	2.50%			2.50%				100.00%	USD	250000000	$250,000,000.00	Primary				$0.00			673614	USD	$673,614.00			Contract Frustration	M&D & Estimate	CF		21.50%	20.00%				20.00%							39.82%				6250000					$5,052.00							$6,250,000.00	$16,840.00																	Demo Generator	22/11/2025	Delgado, Marta				United States		Exclusion					Currently in Bound status	Currently in Signed Status			Signed	Renewed			Each and Every Loss												
Solvent Bay Trading Ltd	Lindqvist, Sara	Lindqvist, Sara	07/01/2026	2026	06/01/2027	24/12/2025	Mosaic UK	Political Risk	Mosaic UK	2026		Yes		DEMO00014AA		DEMO00014	DEMO00014AA			BDEMO00014		Willis Towers Watson (WTW)	Willis Towers Watson (WTW) Limited	3618	Halcyon Ports Authority				07/01/2027	365	12	Line Slip (Non-Binding)	Open Market	Indonesia	Netherlands			10003	H. TRANSPORTATION AND STORAGE	MOS012	Transport					488310	Port and Harbor Operations		Hiscox Syndicates Ltd	XL Catlin Insurance Company Ltd	4.17%	4.17%			4.17%				100.00%	USD	1000000000	$1,000,000,000.00	Primary				$0.00			4097437	USD	$4,097,437.00			Contract Frustration	M&D & Estimate	CF		27.78%	20.00%				20.00%							38.25%				41700000					$51,259.00							$41,700,000.00	$170,863.00																	Demo Generator	21/12/2025	Ashby, Rowan				United States		Exclusion					Currently in Bound status	Currently in Signed Status			Signed	Renewed			In Aggregate												
Kestrel Commodity Trading Pte Ltd	Delgado, Marta	Delgado, Marta	06/02/2026	2026	07/05/2027	17/01/2026	Mosaic UK	Political Risk	Mosaic UK	2026		Yes		DEMO00015AA		DEMO00015	DEMO00015AA			BDEMO00015		Marsh	Marsh Limited	3492	Estrella Grid Corporation				08/05/2027	456	15	Line Slip (Non-Binding)	Facility/DUA	Mexico	Singapore			10017	D. ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY	MOS016	Energy					221118	Other Electric Power Generation			XL Catlin Insurance Company Ltd	10.00%	10.00%			10.00%				100.00%	USD	100000000	$100,000,000.00	Primary				$0.00			340886	USD	$340,886.00			Contract Frustration	M&D & Estimate	CF		23.76%	20.00%				20.00%							58.41%				10000000					$10,227.00							$10,000,000.00	$34,089.00																	Demo Generator	28/01/2026	Delgado, Marta				United Kingdom		Exclusion					Currently in Bound status	Currently in Signed Status			Signed	New			Each and Every Loss												
Northwind Resources SA	Ashby, Rowan	Ashby, Rowan	23/03/2026	2026	20/12/2026	12/03/2026	Mosaic UK	Political Risk	Mosaic UK	2026		Yes		DEMO00016AA		DEMO00016	DEMO00016AA			BDEMO00016		Lockton	Lockton Limited	5934	Zambezi Minerals Board				21/12/2026	273	9	Open Market	Facility/DUA	Zambia	Singapore			10003	B. MINING AND QUARRYING	MOS029	Mining					212290	Other Metal Ore Mining			Lloyds Ark Syndicate Management Limited	1.50%	1.50%			1.50%				100.00%	USD	250000000	$250,000,000.00	Primary				$0.00			771277	USD	$771,277.00			Contract Frustration	M&D & Estimate	CF		34.89%	20.00%				20.00%							49.03%				3750000					$3,471.00							$3,750,000.00	$11,569.00																	Demo Generator	09/03/2026	Delgado, Marta				United Kingdom		Exclusion					Currently in Bound status	Currently in Signed Status			Signed	New			In Aggregate												
Marlin Energy Partners LLC	Ashby, Rowan	Ashby, Rowan	16/10/2025	2025	15/10/2026	23/09/2025	Mosaic UK	Political Risk	Mosaic UK	2025		Yes		DEMO00017AA		DEMO00017	DEMO00017AA			BDEMO00017		Gallagher	Gallagher Limited	4953	Meridian Power Authority				16/10/2026	365	12	Open Market	Facility/DUA	Chile	United Kingdom			10011	D. ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY	MOS013	Energy					221118	Other Electric Power Generation		Hiscox Syndicates Ltd	Lloyds Ark Syndicate Management Limited	2.00%	2.00%			2.00%				100.00%	USD	50000000	$50,000,000.00	Excess				$0.00			133229	USD	$133,229.00			Contract Frustration	M&D & Estimate	CF		23.51%	20.00%				20.00%							43.09%				1000000					$799.00							$1,000,000.00	$2,665.00																	Demo Generator	03/10/2025	Delgado, Marta				United States		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	New			In Aggregate												
Solvent Bay Trading Ltd	Lindqvist, Sara	Lindqvist, Sara	03/11/2025	2025	02/11/2026	16/10/2025	Mosaic UK	Political Risk	Mosaic UK	2025		Yes		DEMO00018AA		DEMO00018	DEMO00018AA			BDEMO00018		Marsh	Marsh Limited	8715	Anseri National Petroleum				03/11/2026	365	12	Line Slip (Non-Binding)	Facility/DUA	Nigeria	United States	New York		10005	D. ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY	MOS014	Energy					221118	Other Electric Power Generation			XL Catlin Insurance Company Ltd	10.00%	10.00%			10.00%				100.00%	USD	250000000	$250,000,000.00	Primary				$0.00			1011954	USD	$1,011,954.00			Contract Frustration	M&D & Estimate	CF		31.86%	20.00%				20.00%							55.07%				25000000					$30,359.00							$25,000,000.00	$101,195.00																	Demo Generator	21/10/2025	Ashby, Rowan				United Kingdom		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	New			In Aggregate												
Verdanta Chemicals Ltd	Ashby, Rowan	Ashby, Rowan	18/10/2025	2025	17/10/2026	23/09/2025	Mosaic UK	Environmental Liability	Mosaic UK	2025		Yes		DEMO00019AA		DEMO00019	DEMO00019AA			BDEMO00019		Marsh	Marsh Limited	1523					18/10/2026	365	12	Line Slip (Non-Binding)	Open Market	Worldwide	Singapore			10019	H. TRANSPORTATION AND STORAGE	MOS012	Transport					488310	Port and Harbor Operations			XL Catlin Insurance Company Ltd	4.17%	4.17%			4.17%				100.00%	USD	2000000000	$2,000,000,000.00	Primary				$0.00			6429804	USD	$6,429,804.00			Pollution Legal Liability	M&D & Estimate	EL		35.32%	20.00%				20.00%							49.48%				83400000					$80,437.00							$83,400,000.00	$268,123.00																	Demo Generator	14/10/2025	Delgado, Marta				United Kingdom		Exclusion					Currently in Bound status	Currently in Signed Status			Signed	New			Each and Every Loss												
Ironvale Manufacturing Inc	Okafor, Chidi	Okafor, Chidi	06/11/2025	2025	05/08/2026	12/10/2025	Mosaic UK	Environmental Liability	Mosaic UK	2025		Yes		DEMO00020AA		DEMO00020	DEMO00020AA			BDEMO00020		Willis Towers Watson (WTW)	Willis Towers Watson (WTW) Limited	3879					06/08/2026	273	9	Direct	Facility/DUA	Worldwide with USA exclusions	Singapore			10017	G. WHOLESALE AND RETAIL TRADE	MOS017	Retail					445110	Supermarkets and Other Grocery Retailers			XL Catlin Insurance Company Ltd	2.50%	2.50%			2.50%				100.00%	USD	500000000	$500,000,000.00	Primary				$0.00			1031086	USD	$1,031,086.00			Pollution Legal Liability	M&D & Estimate	EL		39.69%	20.00%				20.00%							44.62%				12500000					$7,733.00							$12,500,000.00	$25,777.00																	Demo Generator	23/10/2025	Ashby, Rowan				United Kingdom		Exclusion					Currently in Bound status	Currently in Signed Status			Signed	New			In Aggregate												
Cobalt Ridge Mining Corp	Delgado, Marta	Delgado, Marta	02/12/2025	2025	31/08/2026	22/11/2025	Mosaic UK	Environmental Liability	Mosaic UK	2025		Yes		DEMO00021AA		DEMO00021	DEMO00021AA			BDEMO00021		Gallagher	Gallagher Limited	7552					01/09/2026	273	9	Direct	Facility/DUA	Worldwide excluding USA	Switzerland			10000	G. WHOLESALE AND RETAIL TRADE	MOS009	Retail					445110	Supermarkets and Other Grocery Retailers			XL Catlin Insurance Company Ltd	5.00%	5.00%			5.00%				100.00%	USD	1000000000	$1,000,000,000.00	Primary				$0.00			2224349	USD	$2,224,349.00			Pollution Legal Liability	M&D & Estimate	EL		31.03%	20.00%				20.00%							43.34%				50000000					$33,365.00							$50,000,000.00	$111,217.00																	Demo Generator	17/11/2025	Delgado, Marta				United States		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	Renewed			Each and Every Loss												
